Date,Open,High,Low,Close,Adj Close,Volume
2017-07-27,8.920000,9.000000,8.910000,8.990000,8.990000,43000
2017-07-28,9.050000,9.100000,9.030000,9.100000,9.100000,12100
2017-07-31,9.100000,9.250000,9.010000,9.250000,9.250000,6200
2017-08-01,9.070000,9.080000,9.070000,9.080000,9.080000,600
2017-08-02,9.090000,9.090000,9.010000,9.050000,9.050000,2500
2017-08-03,9.100000,9.200000,9.100000,9.150000,9.150000,1300
2017-08-04,9.010000,9.110000,9.010000,9.100000,9.100000,8000
2017-08-08,9.060000,9.120000,9.060000,9.100000,9.100000,2000
2017-08-09,9.050000,9.100000,9.050000,9.050000,9.050000,1900
2017-08-10,9.110000,9.150000,9.110000,9.150000,9.150000,800
2017-08-11,9.150000,9.150000,9.150000,9.150000,9.150000,0
2017-08-14,8.900000,8.980000,8.600000,8.600000,8.600000,1500
2017-08-15,8.550000,8.550000,8.550000,8.550000,8.550000,200
2017-08-16,8.550000,8.550000,8.550000,8.550000,8.550000,3000
2017-08-17,8.550000,8.550000,8.550000,8.550000,8.550000,400
2017-08-18,8.740000,8.890000,8.740000,8.890000,8.890000,800
2017-08-21,8.870000,8.870000,8.790000,8.820000,8.820000,1200
2017-08-22,8.860000,8.880000,8.860000,8.880000,8.880000,300
2017-08-23,8.880000,8.880000,8.880000,8.880000,8.880000,0
2017-08-24,8.800000,8.800000,8.790000,8.790000,8.790000,600
2017-08-25,8.900000,8.960000,8.900000,8.960000,8.960000,800
2017-08-28,8.660000,8.660000,8.620000,8.620000,8.620000,1400
2017-08-29,8.610000,8.610000,8.440000,8.500000,8.500000,4000
2017-08-30,8.360000,8.390000,8.250000,8.250000,8.250000,3600
2017-08-31,8.460000,8.500000,8.400000,8.500000,8.500000,14100
2017-09-01,8.400000,8.400000,8.270000,8.270000,8.270000,4600
2017-09-05,8.540000,8.730000,8.540000,8.720000,8.720000,4000
2017-09-06,8.730000,8.920000,8.730000,8.870000,8.870000,3700
2017-09-07,8.850000,8.950000,8.850000,8.930000,8.930000,2000
2017-09-08,8.930000,8.930000,8.930000,8.930000,8.930000,100
2017-09-11,8.600000,8.650000,8.485000,8.640000,8.640000,2700
2017-09-12,8.640000,8.640000,8.640000,8.640000,8.640000,0
2017-09-13,8.710000,8.760000,8.710000,8.750000,8.750000,1900
2017-09-14,8.880000,9.110000,8.880000,9.110000,9.110000,3200
2017-09-15,8.910000,8.910000,8.900000,8.900000,8.900000,2100
2017-09-18,8.900000,9.010000,8.890000,8.950000,8.950000,4400
2017-09-19,8.990000,9.050000,8.990000,9.040000,9.040000,900
2017-09-20,9.080000,9.210000,9.080000,9.140000,9.140000,13800
2017-09-21,9.070000,9.200000,9.070000,9.200000,9.200000,1000
2017-09-22,9.170000,9.270000,9.170000,9.210000,9.210000,4600
